priority_rank,review_status,source_label,listing_id,address,area,subarea,latitude,longitude,coordinate_confidence,best_overhead_candidate,contact_sheet,aerial_tile_count,image_quality_score_auto,center_tile_bytes,center_tile_brightness,center_tile_contrast,backyard_visibility,overhead_quality,hot_tub_visible,mls_photo_count,source_risk,notes,aerial_placeholder_tiles,aerial_real_tiles
144,blocked_no_aerial_imagery,Cranbrook/Kimberley,20062684,1629 Staple Crescent,Kootenay,CRAN - Cranbrook South,49.49575165,-115.75717769,listing,data\aerial\cranbrook_kimberley\1629-staple-crescent-20062684\esri_world_imagery_z19\z19_x93560_y178946.jpg,data\contact_sheets\cranbrook_kimberley\1629-staple-crescent-20062684\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,88,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
145,blocked_no_aerial_imagery,Cranbrook/Kimberley,20069196,1646 MT PYRAMID Crescent,Kootenay,CRAN - Cranbrook North,49.52718861,-115.73521972,listing,data\aerial\cranbrook_kimberley\1646-mt-pyramid-crescent-20069196\esri_world_imagery_z19\z19_x93592_y178875.jpg,data\contact_sheets\cranbrook_kimberley\1646-mt-pyramid-crescent-20069196\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,50,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
146,blocked_no_aerial_imagery,Cranbrook/Kimberley,20077373,166 304th Avenue,Kootenay,KI - Marysville,49.63976818,-115.96099598,listing,data\aerial\cranbrook_kimberley\166-304th-avenue-20077373\esri_world_imagery_z19\z19_x93263_y178622.jpg,data\contact_sheets\cranbrook_kimberley\166-304th-avenue-20077373\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,51,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
147,blocked_no_aerial_imagery,Cranbrook/Kimberley,10657484,1701 3RD S Avenue,Kootenay,CRAN - Cranbrook South,49.494101,-115.777297,listing,data\aerial\cranbrook_kimberley\1701-3rd-s-avenue-10657484\esri_world_imagery_z19\z19_x93531_y178949.jpg,data\contact_sheets\cranbrook_kimberley\1701-3rd-s-avenue-10657484\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,14,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
148,blocked_no_aerial_imagery,Cranbrook/Kimberley,10675733,1732 20TH S Avenue,Kootenay,CRAN - Cranbrook South,49.49179681,-115.7538321,listing,data\aerial\cranbrook_kimberley\1732-20th-s-avenue-10675733\esri_world_imagery_z19\z19_x93565_y178954.jpg,data\contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,32,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
149,blocked_no_aerial_imagery,Cranbrook/Kimberley,10681930,176 SHADOW MOUNTAIN Boulevard,Kootenay,CRAN - Cranbrook North,49.57718975,-115.79507886,listing,data\aerial\cranbrook_kimberley\176-shadow-mountain-boulevard-10681930\esri_world_imagery_z19\z19_x93505_y178763.jpg,data\contact_sheets\cranbrook_kimberley\176-shadow-mountain-boulevard-10681930\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,56,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
150,blocked_no_aerial_imagery,Cranbrook/Kimberley,10626846,18-6674 WARDNER-KIKOMUM Road,Kootenay,CRANL Ft. Steele to Wardner,49.40501699,-115.41910697,subaddress_geocode,data\aerial\cranbrook_kimberley\18-6674-wardner-kikomum-road-10626846\esri_world_imagery_z19\z19_x94052_y179149.jpg,data\contact_sheets\cranbrook_kimberley\18-6674-wardner-kikomum-road-10626846\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,20,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 6674 Wardner Kikomun Rd, #18, Wardner, British Columbia, V0B 2J0 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
151,blocked_no_aerial_imagery,Cranbrook/Kimberley,20057967,1900 12th Street S,Kootenay,CRAN - Cranbrook South,49.49767848,-115.75637282,listing,data\aerial\cranbrook_kimberley\1900-12th-street-s-20057967\esri_world_imagery_z19\z19_x93561_y178941.jpg,data\contact_sheets\cranbrook_kimberley\1900-12th-street-s-20057967\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,48,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
152,blocked_no_aerial_imagery,Cranbrook/Kimberley,10670897,1905 16TH S Street,Kootenay,CRAN - Cranbrook South,49.49322513,-115.75489682,listing,data\aerial\cranbrook_kimberley\1905-16th-s-street-10670897\esri_world_imagery_z19\z19_x93563_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1905-16th-s-street-10670897\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,39,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
153,blocked_no_aerial_imagery,Cranbrook/Kimberley,20068527,1908 12th Street S,Kootenay,CRAN - Cranbrook South,49.49778074,-115.75588748,listing,data\aerial\cranbrook_kimberley\1908-12th-street-s-20068527\esri_world_imagery_z19\z19_x93562_y178941.jpg,data\contact_sheets\cranbrook_kimberley\1908-12th-street-s-20068527\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
154,blocked_no_aerial_imagery,Cranbrook/Kimberley,10652500,1909 16TH S Street,Kootenay,CRAN - Cranbrook South,49.49335,-115.754603,listing,data\aerial\cranbrook_kimberley\1909-16th-s-street-10652500\esri_world_imagery_z19\z19_x93564_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1909-16th-s-street-10652500\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,33,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
155,blocked_no_aerial_imagery,Cranbrook/Kimberley,20022971,200 BOULDER Creek,Kootenay,CRAN - Cranbrook North,49.53996562,-115.75611723,listing,data\aerial\cranbrook_kimberley\200-boulder-creek-20022971\esri_world_imagery_z19\z19_x93561_y178846.jpg,data\contact_sheets\cranbrook_kimberley\200-boulder-creek-20022971\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,47,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
156,blocked_no_aerial_imagery,Cranbrook/Kimberley,20040986,205 18 Street S,Kootenay,CRAN - Cranbrook South,49.49159439,-115.77964478,listing,data\aerial\cranbrook_kimberley\205-18-street-s-20040986\esri_world_imagery_z19\z19_x93527_y178955.jpg,data\contact_sheets\cranbrook_kimberley\205-18-street-s-20040986\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,12,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
157,blocked_no_aerial_imagery,Cranbrook/Kimberley,20058040,205 309th Avenue,Kootenay,KI - Kimberley,49.63852518,-115.95303904,listing,data\aerial\cranbrook_kimberley\205-309th-avenue-20058040\esri_world_imagery_z19\z19_x93275_y178625.jpg,data\contact_sheets\cranbrook_kimberley\205-309th-avenue-20058040\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
158,blocked_no_aerial_imagery,Cranbrook/Kimberley,10625065,208 CROWNE TERRACE Forest,Kootenay,KI - Kimberley,49.644295,-115.973946,listing,data\aerial\cranbrook_kimberley\208-crowne-terrace-forest-10625065\esri_world_imagery_z19\z19_x93244_y178612.jpg,data\contact_sheets\cranbrook_kimberley\208-crowne-terrace-forest-10625065\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,20,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
159,blocked_no_aerial_imagery,Cranbrook/Kimberley,20078342,209 31st Avenue S,Kootenay,CRAN - Cranbrook South,49.50721928,-115.73847781,listing,data\aerial\cranbrook_kimberley\209-31st-avenue-s-20078342\esri_world_imagery_z19\z19_x93587_y178920.jpg,data\contact_sheets\cranbrook_kimberley\209-31st-avenue-s-20078342\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,50,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
160,blocked_no_aerial_imagery,Cranbrook/Kimberley,10683832,211 CROWNE TERRACE Forest,Kootenay,KI - Marysville,49.64457479,-115.97399609,listing,data\aerial\cranbrook_kimberley\211-crowne-terrace-forest-10683832\esri_world_imagery_z19\z19_x93244_y178611.jpg,data\contact_sheets\cranbrook_kimberley\211-crowne-terrace-forest-10683832\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,12,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
161,blocked_no_aerial_imagery,Cranbrook/Kimberley,20074790,215 13th Avenue S,Kootenay,CRAN - Cranbrook South,49.50765696,-115.76380623,listing,data\aerial\cranbrook_kimberley\215-13th-avenue-s-20074790\esri_world_imagery_z19\z19_x93550_y178919.jpg,data\contact_sheets\cranbrook_kimberley\215-13th-avenue-s-20074790\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,46,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
162,blocked_no_aerial_imagery,Cranbrook/Kimberley,10685240,2210 13TH S Avenue,Kootenay,CRAN - Cranbrook South,49.48646115,-115.76078547,listing,data\aerial\cranbrook_kimberley\2210-13th-s-avenue-10685240\esri_world_imagery_z19\z19_x93555_y178966.jpg,data\contact_sheets\cranbrook_kimberley\2210-13th-s-avenue-10685240\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,29,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
163,blocked_no_aerial_imagery,Cranbrook/Kimberley,20035684,222 Boulder Creek,Kootenay,CRAN - Cranbrook North,49.53923882,-115.75519018,listing,data\aerial\cranbrook_kimberley\222-boulder-creek-20035684\esri_world_imagery_z19\z19_x93563_y178848.jpg,data\contact_sheets\cranbrook_kimberley\222-boulder-creek-20035684\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
164,blocked_no_aerial_imagery,Cranbrook/Kimberley,20049485,224 Lindsay Street,Kootenay,KI - Kimberley,49.6705185,-115.98128598,listing,data\aerial\cranbrook_kimberley\224-lindsay-street-20049485\esri_world_imagery_z19\z19_x93234_y178553.jpg,data\contact_sheets\cranbrook_kimberley\224-lindsay-street-20049485\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,42,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
165,blocked_no_aerial_imagery,Cranbrook/Kimberley,20084357,233 Boulder Creek,Kootenay,CRAN - Northwest Cranbrook,49.5385398,-115.75577613,listing,data\aerial\cranbrook_kimberley\233-boulder-creek-20084357\esri_world_imagery_z19\z19_x93562_y178850.jpg,data\contact_sheets\cranbrook_kimberley\233-boulder-creek-20084357\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,32,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
166,blocked_no_aerial_imagery,Cranbrook/Kimberley,10680848,2400 34TH S Avenue,Kootenay,CRANL Cranbrook Periphery,49.48655061,-115.73283811,listing,data\aerial\cranbrook_kimberley\2400-34th-s-avenue-10680848\esri_world_imagery_z19\z19_x93595_y178966.jpg,data\contact_sheets\cranbrook_kimberley\2400-34th-s-avenue-10680848\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,39,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
167,blocked_no_aerial_imagery,Cranbrook/Kimberley,20087226,244 Boulder Creek,Kootenay,CRAN - Northwest Cranbrook,49.53890993,-115.75655684,listing,data\aerial\cranbrook_kimberley\244-boulder-creek-20087226\esri_world_imagery_z19\z19_x93561_y178849.jpg,data\contact_sheets\cranbrook_kimberley\244-boulder-creek-20087226\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
168,blocked_no_aerial_imagery,Cranbrook/Kimberley,20043585,254 305TH Avenue,Kootenay,KI - Marysville,49.63815896,-115.95803302,listing,data\aerial\cranbrook_kimberley\254-305th-avenue-20043585\esri_world_imagery_z19\z19_x93267_y178626.jpg,data\contact_sheets\cranbrook_kimberley\254-305th-avenue-20043585\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,54,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
169,blocked_no_aerial_imagery,Cranbrook/Kimberley,20053388,2715 3rd Street S,Kootenay,CRAN - Cranbrook South,49.50634673,-115.74233762,listing,data\aerial\cranbrook_kimberley\2715-3rd-street-s-20053388\esri_world_imagery_z19\z19_x93582_y178922.jpg,data\contact_sheets\cranbrook_kimberley\2715-3rd-street-s-20053388\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,57,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
170,blocked_no_aerial_imagery,Cranbrook/Kimberley,20042580,2850 BLACK BEAR Crescent,Kootenay,KI - Kimberley,49.66264548,-115.9655626,listing,data\aerial\cranbrook_kimberley\2850-black-bear-crescent-20042580\esri_world_imagery_z19\z19_x93256_y178571.jpg,data\contact_sheets\cranbrook_kimberley\2850-black-bear-crescent-20042580\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,43,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
171,blocked_no_aerial_imagery,Cranbrook/Kimberley,20072535,2904 Edgewood Drive,Kootenay,CRAN - Cranbrook South,49.50853107,-115.73903449,listing,data\aerial\cranbrook_kimberley\2904-edgewood-drive-20072535\esri_world_imagery_z19\z19_x93586_y178917.jpg,data\contact_sheets\cranbrook_kimberley\2904-edgewood-drive-20072535\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,57,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
172,blocked_no_aerial_imagery,Cranbrook/Kimberley,20075439,2950 Mellor Road,Kootenay,CRANL - Wycliffe,49.60535668,-115.86046764,listing,data\aerial\cranbrook_kimberley\2950-mellor-road-20075439\esri_world_imagery_z19\z19_x93409_y178700.jpg,data\contact_sheets\cranbrook_kimberley\2950-mellor-road-20075439\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,69,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
173,blocked_no_aerial_imagery,Cranbrook/Kimberley,10681908,300 LEGACY LOOKOUT,Kootenay,CRAN - Cranbrook North,49.54135255,-115.75849168,listing,data\aerial\cranbrook_kimberley\300-legacy-lookout-10681908\esri_world_imagery_z19\z19_x93558_y178843.jpg,data\contact_sheets\cranbrook_kimberley\300-legacy-lookout-10681908\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,29,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
174,blocked_no_aerial_imagery,Cranbrook/Kimberley,20047369,303 Legacy Lookout,Kootenay,CRAN - Cranbrook North,49.54124289,-115.75907405,listing,data\aerial\cranbrook_kimberley\303-legacy-lookout-20047369\esri_world_imagery_z19\z19_x93557_y178844.jpg,data\contact_sheets\cranbrook_kimberley\303-legacy-lookout-20047369\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,12,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
175,blocked_no_aerial_imagery,Cranbrook/Kimberley,20042910,307 LEGACY LOOKOUT,Kootenay,CRAN - Cranbrook North,49.54161698,-115.75942481,listing,data\aerial\cranbrook_kimberley\307-legacy-lookout-20042910\esri_world_imagery_z19\z19_x93557_y178843.jpg,data\contact_sheets\cranbrook_kimberley\307-legacy-lookout-20042910\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,59,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
176,blocked_no_aerial_imagery,Cranbrook/Kimberley,20063623,3101 5th Street S,Kootenay,CRAN - Cranbrook South,49.50395059,-115.73770981,listing,data\aerial\cranbrook_kimberley\3101-5th-street-s-20063623\esri_world_imagery_z19\z19_x93588_y178927.jpg,data\contact_sheets\cranbrook_kimberley\3101-5th-street-s-20063623\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,52,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
177,blocked_no_aerial_imagery,Cranbrook/Kimberley,20046086,3104 5th Street S,Kootenay,CRAN - Cranbrook South,49.50432175,-115.7373911,listing,data\aerial\cranbrook_kimberley\3104-5th-street-s-20046086\esri_world_imagery_z19\z19_x93589_y178926.jpg,data\contact_sheets\cranbrook_kimberley\3104-5th-street-s-20046086\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,23,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
178,blocked_no_aerial_imagery,Cranbrook/Kimberley,20073830,311 302nd Avenue,Kootenay,KI - Kimberley,49.63729303,-115.96292915,listing,data\aerial\cranbrook_kimberley\311-302nd-avenue-20073830\esri_world_imagery_z19\z19_x93260_y178628.jpg,data\contact_sheets\cranbrook_kimberley\311-302nd-avenue-20073830\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,56,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
179,blocked_no_aerial_imagery,Cranbrook/Kimberley,20048728,313 17TH Street S,Kootenay,CRAN - Cranbrook South,49.49220219,-115.77739051,listing,data\aerial\cranbrook_kimberley\313-17th-street-s-20048728\esri_world_imagery_z19\z19_x93530_y178954.jpg,data\contact_sheets\cranbrook_kimberley\313-17th-street-s-20048728\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,38,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
180,blocked_no_aerial_imagery,Cranbrook/Kimberley,20071254,317 Legacy Lookout,Kootenay,CRAN - Cranbrook North,49.54226263,-115.75993267,listing,data\aerial\cranbrook_kimberley\317-legacy-lookout-20071254\esri_world_imagery_z19\z19_x93556_y178841.jpg,data\contact_sheets\cranbrook_kimberley\317-legacy-lookout-20071254\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,28,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
181,blocked_no_aerial_imagery,Cranbrook/Kimberley,20026282,32-1401 30TH N Avenue,Kootenay,CRAN - Cranbrook North,49.52597859,-115.74155633,listing,data\aerial\cranbrook_kimberley\32-1401-30th-n-avenue-20026282\esri_world_imagery_z19\z19_x93583_y178878.jpg,data\contact_sheets\cranbrook_kimberley\32-1401-30th-n-avenue-20026282\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,19,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
182,blocked_no_aerial_imagery,Cranbrook/Kimberley,20045387,3313 3A Street S,Kootenay,CRAN - Cranbrook South,49.50526943,-115.7338013,listing,data\aerial\cranbrook_kimberley\3313-3a-street-s-20045387\esri_world_imagery_z19\z19_x93594_y178924.jpg,data\contact_sheets\cranbrook_kimberley\3313-3a-street-s-20045387\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,39,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
183,blocked_no_aerial_imagery,Cranbrook/Kimberley,20080078,335 16th Avenue S,Kootenay,CRAN - Cranbrook South,49.504998,-115.75954687,listing,data\aerial\cranbrook_kimberley\335-16th-avenue-s-20080078\esri_world_imagery_z19\z19_x93556_y178925.jpg,data\contact_sheets\cranbrook_kimberley\335-16th-avenue-s-20080078\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,51,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
184,blocked_no_aerial_imagery,Cranbrook/Kimberley,20050060,350 Legacy Lookout,Kootenay,CRAN - Cranbrook North,49.54142634,-115.76036142,listing,data\aerial\cranbrook_kimberley\350-legacy-lookout-20050060\esri_world_imagery_z19\z19_x93555_y178843.jpg,data\contact_sheets\cranbrook_kimberley\350-legacy-lookout-20050060\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,33,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
185,blocked_no_aerial_imagery,Cranbrook/Kimberley,20087063,365 Legacy Lookout,Kootenay,CRAN - Cranbrook North,49.54204384,-115.76142676,listing,data\aerial\cranbrook_kimberley\365-legacy-lookout-20087063\esri_world_imagery_z19\z19_x93554_y178842.jpg,data\contact_sheets\cranbrook_kimberley\365-legacy-lookout-20087063\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
186,blocked_no_aerial_imagery,Cranbrook/Kimberley,20021100,402 ALPINE Crescent,Kootenay,KI - Alpine Resort Area,49.68433052,-115.98983543,listing,data\aerial\cranbrook_kimberley\402-alpine-crescent-20021100\esri_world_imagery_z19\z19_x93221_y178522.jpg,data\contact_sheets\cranbrook_kimberley\402-alpine-crescent-20021100\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,38,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
187,blocked_no_aerial_imagery,Cranbrook/Kimberley,20022685,405 7TH Avenue,Kootenay,KI - Kimberley,49.69351588,-115.9851582,listing,data\aerial\cranbrook_kimberley\405-7th-avenue-20022685\esri_world_imagery_z19\z19_x93228_y178501.jpg,data\contact_sheets\cranbrook_kimberley\405-7th-avenue-20022685\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
188,blocked_no_aerial_imagery,Cranbrook/Kimberley,20027834,405 FOREST CROWNE Close,Kootenay,KI - Kimberley,49.64395984,-115.97896628,listing,data\aerial\cranbrook_kimberley\405-forest-crowne-close-20027834\esri_world_imagery_z19\z19_x93237_y178613.jpg,data\contact_sheets\cranbrook_kimberley\405-forest-crowne-close-20027834\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,32,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
189,blocked_no_aerial_imagery,Cranbrook/Kimberley,10470205,419 ALPINE Crescent,Kootenay,KI - Kimberley,49.685396,-115.991907,listing,data\aerial\cranbrook_kimberley\419-alpine-crescent-10470205\esri_world_imagery_z19\z19_x93218_y178520.jpg,data\contact_sheets\cranbrook_kimberley\419-alpine-crescent-10470205\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,0,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
190,blocked_no_aerial_imagery,Cranbrook/Kimberley,20003058,4315 LAKEVIEW Drive,Kootenay,CRANL Cranbrook Periphery,49.48370376,-115.84817827,listing,data\aerial\cranbrook_kimberley\4315-lakeview-drive-20003058\esri_world_imagery_z19\z19_x93427_y178973.jpg,data\contact_sheets\cranbrook_kimberley\4315-lakeview-drive-20003058\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,84,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
191,blocked_no_aerial_imagery,Cranbrook/Kimberley,20048760,438 ALPINE Crescent,Kootenay,KI - Alpine Resort Area,49.68646703,-115.99035045,listing,data\aerial\cranbrook_kimberley\438-alpine-crescent-20048760\esri_world_imagery_z19\z19_x93220_y178517.jpg,data\contact_sheets\cranbrook_kimberley\438-alpine-crescent-20048760\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,50,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
192,blocked_no_aerial_imagery,Cranbrook/Kimberley,10682881,447 CROWNE RISE Forest,Kootenay,KI - Marysville,49.64134664,-115.97777627,listing,data\aerial\cranbrook_kimberley\447-crowne-rise-forest-10682881\esri_world_imagery_z19\z19_x93239_y178619.jpg,data\contact_sheets\cranbrook_kimberley\447-crowne-rise-forest-10682881\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,70,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
